LAST SEEN   TYPE     REASON      OBJECT                  MESSAGE
22m         Normal   Scheduled   pod/consumer-diff-svc   Successfully assigned default/consumer-diff-svc to rubikpi
22m         Normal   Pulling     pod/consumer-diff-svc   Pulling image "ssoonan0770/jitter-consumer:latest"
22m         Normal   Pulled      pod/consumer-diff-svc   Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.575s (1.576s including waiting). Image size: 6026485 bytes.
22m         Normal   Created     pod/consumer-diff-svc   Created container: consumer
22m         Normal   Started     pod/consumer-diff-svc   Started container consumer
22m         Normal   Killing     pod/consumer-diff-svc   Stopping container consumer
21m         Normal   Scheduled   pod/consumer-diff-svc   Successfully assigned default/consumer-diff-svc to rubikpi
21m         Normal   Pulling     pod/consumer-diff-svc   Pulling image "ssoonan0770/jitter-consumer:latest"
21m         Normal   Pulled      pod/consumer-diff-svc   Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.517s (1.517s including waiting). Image size: 6026485 bytes.
21m         Normal   Created     pod/consumer-diff-svc   Created container: consumer
21m         Normal   Started     pod/consumer-diff-svc   Started container consumer
20m         Normal   Killing     pod/consumer-diff-svc   Stopping container consumer
10m         Normal   Scheduled   pod/consumer-svc        Successfully assigned default/consumer-svc to rubikpi
10m         Normal   Pulling     pod/consumer-svc        Pulling image "ssoonan0770/jitter-consumer:latest"
10m         Normal   Pulled      pod/consumer-svc        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.511s (1.511s including waiting). Image size: 6026485 bytes.
10m         Normal   Created     pod/consumer-svc        Created container: consumer
10m         Normal   Started     pod/consumer-svc        Started container consumer
21m         Normal   Scheduled   pod/consumer            Successfully assigned default/consumer to rubikpi
21m         Normal   Pulling     pod/consumer            Pulling image "ssoonan0770/jitter-consumer:latest"
21m         Normal   Pulled      pod/consumer            Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.534s (1.534s including waiting). Image size: 6026485 bytes.
21m         Normal   Created     pod/consumer            Created container: consumer
21m         Normal   Started     pod/consumer            Started container consumer
20m         Normal   Killing     pod/consumer            Stopping container consumer
20m         Normal   Scheduled   pod/consumer            Successfully assigned default/consumer to rubikpi
20m         Normal   Pulling     pod/consumer            Pulling image "ssoonan0770/jitter-consumer:latest"
20m         Normal   Pulled      pod/consumer            Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.536s (1.536s including waiting). Image size: 6026485 bytes.
20m         Normal   Created     pod/consumer            Created container: consumer
20m         Normal   Started     pod/consumer            Started container consumer
10m         Normal   Killing     pod/consumer            Stopping container consumer
22m         Normal   Scheduled   pod/producer-diff-svc   Successfully assigned default/producer-diff-svc to raspberrypi
22m         Normal   Pulling     pod/producer-diff-svc   Pulling image "ssoonan0770/jitter-producer:latest"
22m         Normal   Pulled      pod/producer-diff-svc   Successfully pulled image "ssoonan0770/jitter-producer:latest" in 1.643s (1.643s including waiting). Image size: 6007016 bytes.
22m         Normal   Created     pod/producer-diff-svc   Created container: producer
22m         Normal   Started     pod/producer-diff-svc   Started container producer
22m         Normal   Killing     pod/producer-diff-svc   Stopping container producer
21m         Normal   Scheduled   pod/producer-diff-svc   Successfully assigned default/producer-diff-svc to raspberrypi
21m         Normal   Pulling     pod/producer-diff-svc   Pulling image "ssoonan0770/jitter-producer:latest"
21m         Normal   Pulled      pod/producer-diff-svc   Successfully pulled image "ssoonan0770/jitter-producer:latest" in 1.698s (1.698s including waiting). Image size: 6007016 bytes.
21m         Normal   Created     pod/producer-diff-svc   Created container: producer
21m         Normal   Started     pod/producer-diff-svc   Started container producer
20m         Normal   Killing     pod/producer-diff-svc   Stopping container producer
10m         Normal   Scheduled   pod/producer-svc        Successfully assigned default/producer-svc to rubikpi
10m         Normal   Pulling     pod/producer-svc        Pulling image "ssoonan0770/jitter-producer:latest"
10m         Normal   Pulled      pod/producer-svc        Successfully pulled image "ssoonan0770/jitter-producer:latest" in 1.766s (1.766s including waiting). Image size: 6007016 bytes.
10m         Normal   Created     pod/producer-svc        Created container: producer
10m         Normal   Started     pod/producer-svc        Started container producer
21m         Normal   Scheduled   pod/producer            Successfully assigned default/producer to rubikpi
21m         Normal   Pulling     pod/producer            Pulling image "ssoonan0770/jitter-producer:latest"
21m         Normal   Pulled      pod/producer            Successfully pulled image "ssoonan0770/jitter-producer:latest" in 1.517s (1.517s including waiting). Image size: 6007016 bytes.
21m         Normal   Created     pod/producer            Created container: producer
21m         Normal   Started     pod/producer            Started container producer
20m         Normal   Killing     pod/producer            Stopping container producer
20m         Normal   Scheduled   pod/producer            Successfully assigned default/producer to rubikpi
20m         Normal   Pulling     pod/producer            Pulling image "ssoonan0770/jitter-producer:latest"
20m         Normal   Pulled      pod/producer            Successfully pulled image "ssoonan0770/jitter-producer:latest" in 1.595s (1.595s including waiting). Image size: 6007016 bytes.
20m         Normal   Created     pod/producer            Created container: producer
20m         Normal   Started     pod/producer            Started container producer
10m         Normal   Killing     pod/producer            Stopping container producer
