Producer starting...
Target address: consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
Send interval: 10ms
Connected to consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
[Stats] Messages: 499 | Rate: 99.79 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 999 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 1499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 2000 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 2499 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 3000 | Rate: 100.20 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 3500 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 4000 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 4499 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 5000 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 5499 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 5999 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 6500 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 7000 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 7500 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 7999 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 8499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 8999 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 9499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 9999 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 10499 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 10999 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 11500 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 11999 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 12499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 12999 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 13499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 14000 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 14499 | Rate: 99.80 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 14999 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 15499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 16000 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 16498 | Rate: 99.61 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 16999 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 17498 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 17998 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 18499 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 18998 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 19498 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 19999 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 20498 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 20999 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 21498 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 21998 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 22498 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 22998 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 23498 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 23999 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 24498 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 24996 | Rate: 99.60 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 25497 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 25996 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 26496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 26996 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 27496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 27996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 28496 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 28996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 29496 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 29997 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 30497 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
