Producer starting...
Target address: localhost:8080
Send interval: 10ms
Connected to localhost:8080
[Stats] Messages: 499 | Rate: 99.80 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 999 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 1499 | Rate: 100.02 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 1999 | Rate: 99.98 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 2499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 2999 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 3499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 3999 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 4499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 4999 | Rate: 100.02 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 5499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 5999 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 6499 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 6999 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 7499 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 7999 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 8499 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 8998 | Rate: 99.80 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 9498 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 9998 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 10498 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 10998 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 11498 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 11997 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 12497 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 12997 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 13497 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 13997 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 14497 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 14997 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 15497 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 15997 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 16497 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 16997 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 17497 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 17997 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 18497 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 18997 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 19497 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 19997 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 20497 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 20997 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 21497 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 21997 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 22497 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 22997 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 23497 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 23996 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 24496 | Rate: 99.98 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 24995 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 25495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 25995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 26495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 26995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 27495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 27995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 28495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 28995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 29495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 29995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 30495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 30995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 31495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 31995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 32495 | Rate: 99.98 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 32995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 33495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 33995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 34495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 34995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 35495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 35995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 36495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 36995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 37495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 37995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 38495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 38995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
