LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
59m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
59m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
59m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.427s (2.427s including waiting). Image size: 6025303 bytes.
59m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
59m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
58m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
58m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
58m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
58m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.205s (2.205s including waiting). Image size: 6025303 bytes.
58m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
58m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
58m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
57m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
57m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
57m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.759s (1.759s including waiting). Image size: 6025303 bytes.
57m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
57m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
57m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
56m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
56m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
56m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.519s (1.519s including waiting). Image size: 6025303 bytes.
56m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
56m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
56m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
5m34s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
5m34s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
5m31s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 3.069s (3.069s including waiting). Image size: 6025303 bytes.
5m31s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
5m30s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
2m58s       Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
2m21s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
2m20s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
2m19s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.502s (1.502s including waiting). Image size: 6025303 bytes.
2m19s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
2m19s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
115m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
115m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.742s (1.743s including waiting). Image size: 6025303 bytes.
115m        Normal    Created     pod/consumer-svc                             Created container: consumer
115m        Normal    Started     pod/consumer-svc                             Started container consumer
112m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
112m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
112m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.768s (1.768s including waiting). Image size: 6025303 bytes.
112m        Normal    Created     pod/consumer-svc                             Created container: consumer
112m        Normal    Started     pod/consumer-svc                             Started container consumer
110m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
110m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
110m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.777s (1.777s including waiting). Image size: 6025303 bytes.
110m        Normal    Created     pod/consumer-svc                             Created container: consumer
110m        Normal    Started     pod/consumer-svc                             Started container consumer
108m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
108m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
