LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
23m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
23m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
23m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 3.069s (3.069s including waiting). Image size: 6025303 bytes.
23m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
23m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
21m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
20m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
20m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
20m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.502s (1.502s including waiting). Image size: 6025303 bytes.
20m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
20m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
18m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
17m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
17m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
17m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.543s (1.543s including waiting). Image size: 6025303 bytes.
17m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
17m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
15m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
14m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
14m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
14m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.728s (1.728s including waiting). Image size: 6025303 bytes.
14m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
14m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
12m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
11m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
11m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
11m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.577s (1.577s including waiting). Image size: 6025303 bytes.
11m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
11m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
8m58s       Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
8m18s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
8m18s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
8m16s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.53s (1.53s including waiting). Image size: 6025303 bytes.
8m16s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
8m16s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
5m52s       Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
5m17s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
5m17s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
5m15s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.542s (1.542s including waiting). Image size: 6025303 bytes.
5m15s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
5m15s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
2m56s       Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
2m21s       Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
2m21s       Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
2m19s       Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.533s (1.533s including waiting). Image size: 6025303 bytes.
2m19s       Normal    Created     pod/consumer-diff-svc                        Created container: consumer
2m19s       Normal    Started     pod/consumer-diff-svc                        Started container consumer
120m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
113m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
113m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.002s (2.002s including waiting). Image size: 6025303 bytes.
113m        Normal    Created     pod/consumer-svc                             Created container: consumer
113m        Normal    Started     pod/consumer-svc                             Started container consumer
111m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
110m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
110m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.744s (1.744s including waiting). Image size: 6025303 bytes.
110m        Normal    Created     pod/consumer-svc                             Created container: consumer
110m        Normal    Started     pod/consumer-svc                             Started container consumer
108m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
107m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
107m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.816s (1.816s including waiting). Image size: 6025303 bytes.
107m        Normal    Created     pod/consumer-svc                             Created container: consumer
107m        Normal    Started     pod/consumer-svc                             Started container consumer
105m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
104m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
104m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.755s (1.755s including waiting). Image size: 6025303 bytes.
104m        Normal    Created     pod/consumer-svc                             Created container: consumer
104m        Normal    Started     pod/consumer-svc                             Started container consumer
102m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
101m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
101m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.861s (1.861s including waiting). Image size: 6025303 bytes.
101m        Normal    Created     pod/consumer-svc                             Created container: consumer
101m        Normal    Started     pod/consumer-svc                             Started container consumer
99m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
59m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
59m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
59m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.67s (1.67s including waiting). Image size: 5766525 bytes.
59m         Normal    Created     pod/consumer-svc                             Created container: consumer
59m         Normal    Started     pod/consumer-svc                             Started container consumer
58m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
57m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
57m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
57m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.913s (1.913s including waiting). Image size: 5766525 bytes.
57m         Normal    Created     pod/consumer-svc                             Created container: consumer
57m         Normal    Started     pod/consumer-svc                             Started container consumer
56m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
56m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
56m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
56m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.688s (1.688s including waiting). Image size: 5766525 bytes.
56m         Normal    Created     pod/consumer-svc                             Created container: consumer
56m         Normal    Started     pod/consumer-svc                             Started container consumer
55m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
54m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
54m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
