LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
58m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rtosubuntu-500tca-500sca
58m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
58m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.656s (1.656s including waiting). Image size: 5766525 bytes.
58m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
58m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
57m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
56m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
56m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
56m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.495s (1.495s including waiting). Image size: 6025303 bytes.
56m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
56m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
55m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
53m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
53m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
52m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.501s (1.501s including waiting). Image size: 6025303 bytes.
52m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
52m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
52m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
51m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
51m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
51m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.605s (1.605s including waiting). Image size: 6025303 bytes.
51m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
51m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
49m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
32m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
32m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
31m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.427s (2.427s including waiting). Image size: 6025303 bytes.
31m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
31m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
31m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
