LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
44m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
44m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
44m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.427s (2.427s including waiting). Image size: 6025303 bytes.
44m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
44m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
43m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
43m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
43m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
43m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 2.205s (2.205s including waiting). Image size: 6025303 bytes.
43m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
43m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
42m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
42m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
42m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
42m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.759s (1.759s including waiting). Image size: 6025303 bytes.
42m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
42m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
41m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
41m         Normal    Scheduled   pod/consumer-diff-svc                        Successfully assigned default/consumer-diff-svc to rubikpi
41m         Normal    Pulling     pod/consumer-diff-svc                        Pulling image "ssoonan0770/jitter-consumer:latest"
41m         Normal    Pulled      pod/consumer-diff-svc                        Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.519s (1.519s including waiting). Image size: 6025303 bytes.
41m         Normal    Created     pod/consumer-diff-svc                        Created container: consumer
41m         Normal    Started     pod/consumer-diff-svc                        Started container consumer
41m         Normal    Killing     pod/consumer-diff-svc                        Stopping container consumer
111m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
111m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.868s (1.868s including waiting). Image size: 6025303 bytes.
111m        Normal    Created     pod/consumer-svc                             Created container: consumer
111m        Normal    Started     pod/consumer-svc                             Started container consumer
107m        Normal    Killing     pod/consumer-svc                             Stopping container consumer
100m        Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
100m        Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.742s (1.743s including waiting). Image size: 6025303 bytes.
100m        Normal    Created     pod/consumer-svc                             Created container: consumer
100m        Normal    Started     pod/consumer-svc                             Started container consumer
97m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
96m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
96m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.768s (1.768s including waiting). Image size: 6025303 bytes.
96m         Normal    Created     pod/consumer-svc                             Created container: consumer
96m         Normal    Started     pod/consumer-svc                             Started container consumer
95m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
94m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
