producer_node,cpu_level,bandwidth,scenario,p50,p90,p99,p999,mean,stddev,min,max,samples,total_messages,errors
raspberrypi,10,0,different_node,1805.0,2755.0,3495.0,7470.0,1990.64,562.89,330.0,13526.0,14986,14993,0
raspberrypi,30,0,different_node,1801.0,2767.0,4553.0,9790.0,2046.12,690.82,351.0,15298.0,13454,13482,0
raspberrypi,50,0,different_node,1797.0,2778.0,5145.0,9324.0,2064.34,760.23,33.0,19428.0,13444,13482,0
raspberrypi,70,0,different_node,1810.0,2782.0,5273.0,11288.0,2076.36,883.93,55.0,31392.0,13907,13960,0
raspberrypi,90,0,different_node,1802.0,2814.0,6039.0,11728.0,2125.52,924.51,245.0,22506.0,13889,13939,0
rtosubuntu-500tca-500sca,10,0,different_node,1600.0,2558.0,2717.0,3797.0,1834.22,511.59,601.0,16728.0,13999,13999,0
rtosubuntu-500tca-500sca,30,0,different_node,1550.0,2498.0,2651.0,3757.0,1751.83,476.98,575.0,7539.0,13499,13499,0
rtosubuntu-500tca-500sca,50,0,different_node,1545.0,2482.0,2610.0,3475.0,1734.32,471.88,544.0,13840.0,13498,13499,0
rtosubuntu-500tca-500sca,70,0,different_node,1525.0,2495.0,2653.0,5943.0,1773.93,544.19,552.0,12417.0,13499,13499,0
rtosubuntu-500tca-500sca,90,0,different_node,1521.0,2486.0,3826.0,7789.0,1724.22,598.35,547.0,13987.0,13495,13498,0
raspberrypi,10,0,same_node,810.0,1188.0,2608.0,7751.0,913.01,538.78,17.0,14116.0,12621,12985,0
raspberrypi,30,0,same_node,869.0,1741.0,4657.0,11063.0,1112.36,899.92,23.0,33785.0,12453,13978,0
raspberrypi,50,0,same_node,1084.0,1864.0,5046.0,11278.0,1295.45,1035.06,21.0,52478.0,10828,12961,0
raspberrypi,70,0,same_node,1375.0,1944.0,6106.0,12457.0,1357.03,1065.32,19.0,20039.0,10975,13960,0
raspberrypi,90,0,same_node,1342.0,1899.0,6177.0,12649.0,1342.52,1094.25,21.0,21548.0,11107,13446,0
rtosubuntu-500tca-500sca,10,0,same_node,123.0,431.0,514.0,585.0,200.42,140.52,47.0,1588.0,13493,13497,0
rtosubuntu-500tca-500sca,30,0,same_node,96.0,148.0,463.0,550.0,121.91,166.84,5.0,15071.0,13493,13499,0
rtosubuntu-500tca-500sca,50,0,same_node,99.0,132.0,463.0,605.0,113.78,97.09,35.0,3778.0,13497,13499,0
rtosubuntu-500tca-500sca,70,0,same_node,106.0,126.0,457.0,1333.0,117.35,201.37,55.0,14706.0,13487,13499,0
rtosubuntu-500tca-500sca,90,0,same_node,141.0,194.0,595.0,5118.0,186.47,353.88,50.0,14709.0,14473,14498,0
